Schools,Enroll SY25,Area Counts,Cap Total,Cap Neighb.,Cap TWI,Cap ACC,Enroll Total,Enroll Neighb.,Enroll TWE,Enroll TWS,Enroll TWX,Enroll ACC,Util. Total,Util Neighb.,Util TWI,Util ACC
Dawes Elementary School,294.0,354.0,432.0,288.0,144.0,0.0,337.0,186.0,60.0,61.0,30.0,0,78%,65%,105%,
Dewey Elementary School,316.0,442.0,576.0,432.0,144.0,0.0,372.0,260.0,48.0,39.0,25.0,0,65%,60%,78%,
Kingsley Elementary School,326.0,187.0,432.0,432.0,0.0,0.0,167.0,167.0,0.0,0.0,0.0,0,39%,39%,,
Lincoln Elementary School,334.0,476.0,576.0,576.0,0.0,0.0,328.0,328.0,0.0,0.0,0.0,0,57%,57%,,
Lincolnwood Elementary School,283.0,186.0,432.0,432.0,0.0,0.0,181.0,181.0,0.0,0.0,0.0,0,42%,42%,,
Oakton Elementary School,361.0,466.0,576.0,288.0,144.0,144.0,403.0,243.0,43.0,33.0,11.0,73,70%,84%,60%,51%
Orrington Elementary School,218.0,259.0,432.0,432.0,0.0,0.0,226.0,226.0,0.0,0.0,0.0,0,52%,52%,,
Walker Elementary School,345.0,426.0,432.0,432.0,0.0,0.0,304.0,304.0,0.0,0.0,0.0,0,70%,70%,,
Washington Elementary School,403.0,447.0,530.0,242.0,288.0,0.0,441.0,230.0,94.0,82.0,35.0,0,83%,95%,73%,
Willard Elementary School,345.0,227.0,576.0,576.0,0.0,0.0,193.0,193.0,0.0,0.0,0.0,0,34%,34%,,
Dr. Bessie Rhodes School of Global Studies,251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
Foster School,0.0,502.0,576.0,288.0,288.0,0.0,452.0,255.0,58.0,104.0,35.0,0,78%,89%,68%,
Dr. Martin Luther King Jr. Literary & Fine Arts School,415.0,0.0,651.0,651.0,0.0,0.0,415.0,415.0,0.0,0.0,0.0,0,64%,64%,,
Chute Middle School,567.0,638.0,792.0,792.0,0.0,0.0,551.0,551.0,0.0,0.0,0.0,0,70%,70%,,
Haven Middle School,642.0,704.0,936.0,910.0,26.0,0.0,664.0,652.0,1.0,9.0,2.0,0,71%,72%,46%,
Nichols Middle School,609.0,710.0,705.0,679.0,26.0,0.0,656.0,648.0,2.0,4.0,2.0,0,93%,95%,31%,
Park School,57.0,0.0,109.0,109.0,0.0,0.0,57.0,57.0,0.0,0.0,0.0,0,52%,52%,,
Family Center,34.0,0.0,60.0,60.0,0.0,0.0,34.0,34.0,0.0,0.0,0.0,0,57%,57%,,
Rice Children's Center,19.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,0.0,0.0,0.0,0,,,,
Joseph E Hill Education Center,242.0,0.0,404.0,404.0,0.0,0.0,242.0,242.0,0.0,0.0,0.0,0,60%,60%,,
Not in D65,0.0,37.0,0.0,0.0,0.0,0.0,19.0,15.0,0.0,4.0,0.0,0,,,,
,,,,,,,,,,,,Average,63%,64%,66%,51%
,,,,,,,,,,,,Min,34%,34%,31%,51%
,,,,,,,,,,,,Max,93%,95%,105%,51%
