Schools,ACC Placement,Bus,Hazard,Not in D65,"Park, Rice, JEH",STEP Placement,SpEd Transportation,TWE Placement,TWS Placement,TWX Placement,Walk <=.75 miles,Walk >.75 miles
Chute Middle School,0,196,0,0,0,0,11,0,0,0,220,151
Dawes Elementary School,0,0,0,0,0,0,2,8,6,4,295,26
Dewey Elementary School,0,0,74,0,0,0,2,4,6,4,197,63
Dr. Martin Luther King Jr. Literary & Fine Arts School,0,153,129,1,0,0,24,0,0,0,75,59
Family Center,0,0,0,0,26,0,0,0,0,0,0,0
Foster School,0,0,0,0,0,0,6,48,13,19,300,62
Haven Middle School,0,0,0,0,0,0,6,1,8,4,162,468
Joseph E. Hill Education Center,0,0,0,0,240,0,23,0,0,0,0,0
Lincoln Elementary School,0,0,109,0,0,4,33,0,0,0,214,2
Nichols Middle School,0,0,0,0,0,0,7,0,0,0,235,381
Not in D65,0,0,0,12,0,0,0,0,0,0,0,0
Oakton Elementary School,23,0,0,0,0,0,3,7,8,5,311,30
Orrington Elementary School,0,48,69,0,0,0,0,0,0,0,115,84
Park School,0,0,0,0,26,0,26,0,0,0,0,0
Rice Children's Center,0,0,0,0,11,0,10,0,0,0,0,0
Walker Elementary School,0,0,121,0,0,0,1,0,0,0,141,18
Washington Elementary School,0,0,0,0,0,1,11,21,33,15,301,53
Willard Elementary School,0,0,47,0,0,0,0,0,0,0,227,132
,23,397,549,13,303,5,165,89,74,51,2793,1529
