year,filename,section,func,func_label,salaries,benefits,purchased_services,row_total
2012,05-016-0650-04_AFR12 Evanston CCSD 65.xls,SUPPORT SERVICES (ED),2310,Board of Education,72236.0,6530.0,70293.0,217310.0
2012,05-016-0650-04_AFR12 Evanston CCSD 65.xls,SUPPORT SERVICES (ED),2320,Executive Administration,312620.0,99369.0,2629.0,419924.0
2012,05-016-0650-04_AFR12 Evanston CCSD 65.xls,SUPPORT SERVICES (ED),2330,Special Area Administration,721177.0,103892.0,13802.0,842121.0
2012,05-016-0650-04_AFR12 Evanston CCSD 65.xls,SUPPORT SERVICES (ED),2300,General Administration (total),1106033.0,209791.0,86724.0,1479355.0
2012,05-016-0650-04_AFR12 Evanston CCSD 65.xls,SUPPORT SERVICES (ED),2410,Office of the Principal,3692003.0,479556.0,75778.0,4247337.0
2012,05-016-0650-04_AFR12 Evanston CCSD 65.xls,SUPPORT SERVICES (ED),2490,Other School Administration,72560.0,3100.0,0.0,76525.0
2012,05-016-0650-04_AFR12 Evanston CCSD 65.xls,SUPPORT SERVICES (ED),2400,School Administration (total),3764563.0,482656.0,75778.0,4323862.0
2012,05-016-0650-04_AFR12 Evanston CCSD 65.xls,SUPPORT SERVICES (ED),2510,Direction of Business Support Services,342134.0,57347.0,20872.0,425382.0
2012,05-016-0650-04_AFR12 Evanston CCSD 65.xls,SUPPORT SERVICES (ED),2520,Fiscal Services,370605.0,39539.0,31544.0,444629.0
2012,05-016-0650-04_AFR12 Evanston CCSD 65.xls,SUPPORT SERVICES (ED),2540,Operation & Maintenance,0.0,0.0,0.0,45000.0
2012,05-016-0650-04_AFR12 Evanston CCSD 65.xls,SUPPORT SERVICES (ED),2550,Pupil Transportation,0.0,0.0,0.0,0.0
2012,05-016-0650-04_AFR12 Evanston CCSD 65.xls,SUPPORT SERVICES (ED),2560,Food Services,823317.0,105574.0,55361.0,2176143.0
2012,05-016-0650-04_AFR12 Evanston CCSD 65.xls,SUPPORT SERVICES (ED),2570,Internal Services,79211.0,20710.0,1052097.0,1172754.0
2012,05-016-0650-04_AFR12 Evanston CCSD 65.xls,SUPPORT SERVICES (ED),2500,Business Services (total),1615267.0,223170.0,1159874.0,4263908.0
2012,05-016-0650-04_AFR12 Evanston CCSD 65.xls,SUPPORT SERVICES (ED),2610,Direction of Central Support Services,0.0,0.0,0.0,0.0
2012,05-016-0650-04_AFR12 Evanston CCSD 65.xls,SUPPORT SERVICES (ED),2620,"Planning, Research, Development, Evaluation",466668.0,91749.0,22996.0,692296.0
2012,05-016-0650-04_AFR12 Evanston CCSD 65.xls,SUPPORT SERVICES (ED),2630,Information Services,178039.0,15497.0,45295.0,240951.0
2012,05-016-0650-04_AFR12 Evanston CCSD 65.xls,SUPPORT SERVICES (ED),2640,Staff Services,557878.0,165051.0,63864.0,807669.0
2012,05-016-0650-04_AFR12 Evanston CCSD 65.xls,SUPPORT SERVICES (ED),2660,Data Processing,424525.0,40584.0,446462.0,1413550.0
2012,05-016-0650-04_AFR12 Evanston CCSD 65.xls,SUPPORT SERVICES (ED),2600,Central Support Services (total),1627110.0,312881.0,578617.0,3154466.0
2012,05-016-0650-04_AFR12 Evanston CCSD 65.xls,SUPPORT SERVICES (O&M),2510,Direction of Business Support Services,0.0,0.0,0.0,0.0
2012,05-016-0650-04_AFR12 Evanston CCSD 65.xls,SUPPORT SERVICES (O&M),2540,Operation & Maintenance,3409686.0,550352.0,2627468.0,8575144.0
2012,05-016-0650-04_AFR12 Evanston CCSD 65.xls,SUPPORT SERVICES (O&M),2550,Pupil Transportation,0.0,0.0,0.0,0.0
2012,05-016-0650-04_AFR12 Evanston CCSD 65.xls,SUPPORT SERVICES (O&M),2560,Food Services,0.0,0.0,0.0,0.0
2012,05-016-0650-04_AFR12 Evanston CCSD 65.xls,SUPPORT SERVICES (O&M),2500,Business Services (total),3409686.0,550352.0,2627468.0,8575144.0
2012,05-016-0650-04_AFR12 Evanston CCSD 65.xls,SUPPORT SERVICES (TR),2550,Pupil Transportation,296486.0,28341.0,2055831.0,2427065.0
2012,05-016-0650-04_AFR12 Evanston CCSD 65.xls,SUPPORT SERVICES (MR/SS),2310,Board of Education,0.0,12357.0,0.0,12357.0
2012,05-016-0650-04_AFR12 Evanston CCSD 65.xls,SUPPORT SERVICES (MR/SS),2320,Executive Administration,0.0,15550.0,0.0,15550.0
2012,05-016-0650-04_AFR12 Evanston CCSD 65.xls,SUPPORT SERVICES (MR/SS),2330,Special Area Administration,0.0,31393.0,0.0,31393.0
2012,05-016-0650-04_AFR12 Evanston CCSD 65.xls,SUPPORT SERVICES (MR/SS),2300,General Administration (total),0.0,60498.0,0.0,60498.0
2012,05-016-0650-04_AFR12 Evanston CCSD 65.xls,SUPPORT SERVICES (MR/SS),2410,Office of the Principal,0.0,165467.0,0.0,165467.0
2012,05-016-0650-04_AFR12 Evanston CCSD 65.xls,SUPPORT SERVICES (MR/SS),2490,Other School Administration,0.0,965.0,0.0,965.0
