year,2300,2400,2500,2600,pool_total,pool_excl_principals,adj_to_2026,2300_real,2400_real,2500_real,2600_real,pool_total_real,pool_excl_principals_real
2012,1376322.0,4413651.0,2721844.0,2192935.0,10704752.0,6291101.0,1.435142033328397,1975217.553594606,6334216.070541913,3906232.7325626975,3147173.1948570083,15362839.551556226,9028623.481014311
2013,1323049.0,4427900.0,2778021.0,2161576.0,10690546.0,6262646.0,1.4144241211897475,1871352.419115974,6262928.566216083,3929299.9115716633,3057385.2341848495,15120966.13108857,8858037.564872487
2014,1397373.0,5071854.0,2912737.0,2238079.0,11620043.0,6548189.0,1.3918457691267911,1944927.6979420115,7059238.531528792,4054080.6700290623,3115060.7871215194,16173307.686621385,9114069.155092593
2015,1509417.0,5307323.0,2886421.0,2342316.0,12045477.0,6738154.0,1.3901956399751916,2098384.9323044335,7378217.294540053,4012689.8893328323,3256277.490644131,16745569.606821451,9367352.312281396
2016,1748574.0,5234681.0,2862072.0,2216414.0,12061741.0,6827060.0,1.3728766244317874,2400576.370689188,7186571.1812572135,3929271.7462407346,3042862.9706633557,16559282.268850492,9372711.087593278
2017,2485368.0,5249541.0,2761505.0,2872549.0,13368963.0,8119422.0,1.3442395561357703,3340929.977154047,7056640.663756528,3712124.2554667103,3861393.9927382506,17971088.889115535,10914448.225359008
2018,2871111.0,5262278.0,2686864.0,2850949.0,13671202.0,8408924.0,1.3121896243434075,3767442.064538225,6905106.592010577,3525675.062821825,3740985.697332213,17939209.41670284,11034102.824692264
2019,2605589.0,5350923.0,2702368.0,3112052.0,13770932.0,8420009.0,1.2888362141462975,3358177.462381237,6896463.3415083485,3482909.7423501015,4010925.317906413,17748475.8641461,10852012.522637751
2020,3146517.0,5293452.0,2807138.0,3301195.0,14548302.0,9254850.0,1.2731298128750326,4005924.599418109,6739251.554222967,3573851.076654393,4202849.772613993,18521877.002909463,11782625.448686495
2021,3582464.0,6747878.0,2779105.0,3082947.0,16192394.0,9444516.0,1.2160017714138096,4356282.570026202,8205431.601284275,3379396.6029449753,3748869.01317489,19689979.787430342,11484548.186146067
2022,3756012.0,6574096.0,3173421.0,3877845.0,17381374.0,10807278.0,1.1258990962054296,4228890.516136748,7401768.74476773,3572951.8357793307,4366062.180724744,19569673.27740855,12167904.532640822
2023,5173218.0,6972600.0,3394036.0,4323884.0,19863738.0,12891138.0,1.0813844346279315,5594237.422137039,7540061.108886716,3670257.700966846,4675780.854736759,21480337.08672736,13940275.977840643
2024,4637429.0,7264612.0,3435468.0,4412807.0,19750316.0,12485704.0,1.0504034250483758,4871171.305018664,7630773.326447532,3608627.3538440936,4635227.5868774485,20745799.572187737,13115026.245740207
2025,4775269.0,7337956.0,3628058.0,3816761.0,19558044.0,12220088.0,1.0221808593144097,4881188.5698774615,7500718.169691329,3708531.4440825186,3901420.038777726,19991858.222429033,12491140.052737707
