District Name,K-12,SchoolYearId
Adam/Brwn/Cass/Morgn/Pik/Sctt ROE,135,2018
Payson CUSD 1,524,2018
Liberty CUSD 2,566,2018
Central CUSD 3,864,2018
CUSD 4,657,2018
Quincy SD 172,5969,2018
Brown County CUSD 1,658,2018
Beardstown CUSD 15,1432,2018
Virginia CUSD 64,265,2018
A-C Central CUSD 262,412,2018
Franklin CUSD 1,282,2018
Waverly CUSD 6,353,2018
Meredosia-Chambersburg CUSD 11,181,2018
Triopia CUSD 27,346,2018
Jacksonville SD 117,3160,2018
Four Rivers Spec Educ Dist,52,2018
Pleasant Hill CUSD 3,284,2018
Griggsville-Perry CUSD 4,339,2018
Pikeland CUSD 10,1186,2018
Western CUSD 12,500,2018
Winchester CUSD 1,578,2018
Scott-Morgan CUSD 2,207,2018
Bond/Christian/Effingham/Fayette/Montgomery ROE,104,2018
Mulberry Grove CUSD 1,401,2018
Bond County CUSD 2,1709,2018
Morrisonville CUSD 1,301,2018
Taylorville CUSD 3,2380,2018
Edinburg CUSD 4,253,2018
Pana CUSD 8,1239,2018
South Fork SD 14,295,2018
Altamont CUSD 10,625,2018
Beecher City CUSD 20,271,2018
Dieterich CUSD 30,492,2018
Effingham CUSD 40,2429,2018
Teutopolis CUSD 50,1006,2018
Brownstown CUSD 201,338,2018
St Elmo CUSD 202,410,2018
Vandalia CUSD 203,1393,2018
Ramsey CUSD 204,412,2018
Panhandle CUSD 2,450,2018
Hillsboro CUSD 3,1573,2018
Litchfield CUSD 12,1321,2018
Nokomis CUSD 22,563,2018
Boone/Winnebago ROE,390,2018
Belvidere CUSD 100,7815,2018
North Boone CUSD 200,1581,2018
Harlem UD 122,6396,2018
Kinnikinnick CCSD 131,1631,2018
Prairie Hill CCSD 133,692,2018
Shirland CCSD 134,104,2018
Rockton SD 140,1519,2018
Rockford SD 205,26040,2018
Hononegah CHD 207,2010,2018
County of Winnebago SD 320,893,2018
Pecatonica CUSD 321,860,2018
Durand CUSD 322,576,2018
Winnebago CUSD 323,1342,2018
Region 05 North Cook ISC 1,25,2018
Palatine CCSD 15,11835,2018
Wheeling CCSD 21,6059,2018
Prospect Heights SD 23,1506,2018
Arlington Heights SD 25,5434,2018
River Trails SD 26,1449,2018
Northbrook ESD 27,1233,2018
Northbrook SD 28,1757,2018
Sunset Ridge SD 29,470,2018
