d65_grade8_year,d65_grade8_count,d65_grade8_source,eths_grade9_year,eths_grade9_count,eths_grade9_source
2015-16,715,"D65 5-Year Enrollment Projections, Nov 2019 (foiagras doc 4317), Table 2 — Grade 8 actual",2016-17,913,"D202 Opening of School Report 2016-17 (foiagras doc 11799), Part 1A Grade 9 Total"
2016-17,744,"D65 5-Year Enrollment Projections, Nov 2019 (foiagras doc 4317), Table 2 — Grade 8 actual",2017-18,1010,"D202 Opening of School Report 2017-18 (foiagras doc 11575), Part 1A Grade 9 Total"
2017-18,814,"D65 5-Year Enrollment Projections, Nov 2019 (foiagras doc 4317), Table 2 — Grade 8 actual",2018-19,960,"D202 Opening of School Report 2018-19 (foiagras doc 11374), Part 1A Grade 9 Total"
2018-19,818,"D65 5-Year Enrollment Projections, Nov 2019 (foiagras doc 4317), Table 2 — Grade 8 actual",2019-20,942,"D202 Opening of School Report (cross-year, foiagras doc 3686/3495), Grade 9 Total"
2019-20,834,"D65 5-Year Enrollment Projections, Nov 2019 (foiagras doc 4317), Table 2 — Grade 8 actual",2020-21,905,"D202 Opening of School Report 2020-21 (foiagras doc 3686), Part 1A Grade 9 Total"
2020-21,907,"D65 5-Year Projections Memo, Dec 2020 (foiagras doc 3468), Table 2 — Grade 8 actual",2021-22,1007,"D202 Opening of School Report 2021-22 (foiagras doc 3495), Part 1A Grade 9 Total"
2021-22,784,"D65 BoardMemo Dec 2021 5-Year Projections (foiagras doc 2808), Table 3 — 2021-22 Grade 8 actual",2022-23,891,"D202 Opening School Report 2022-23 (foiagras doc 2486), Part 1A Grade 9 Total"
2022-23,763,"D65 BoardMemo Jan 2023 5-Year Projections (foiagras doc 2144), Table 3 — Grade 8 actual",2023-24,911,"D202 Opening of School Report 2023-24 (foiagras doc 1370), Part 1A Grade 9 Total"
2023-24,724,"D65 BoardMemo Nov 2023 5-Year Projections (foiagras doc 1490), Table 3 — Grade 8 actual",2024-25,913,"D202 Opening of School Report 2025 (foiagras doc 177), Part 1A 2024-25 Grade 9 Total"
2024-25,655,"D65 Enrollment Projections Nov 2024 (foiagras doc 561), Table 2 Grade 8 actual",2025-26,827,"D202 Opening of School Report 2025-26 (foiagras doc 177), Part 1A Grade 9 Total"
2025-26,701,"D65 Enrollment Projections Nov 2025 (foiagras doc 248), Table 3 — 2025-26 Grade 8 actual",2026-27,,"Not yet available — ETHS SY26-27 begins August 2026 with Opening of School Report typically published Nov 2026"
