Type,School Name,District,City,School Type,Grades Served,Pupil Teacher Ratio - Elementary,Pupil Certified Staff Ratio,Pupil Admin Ratio,Pupil School Counselor Ratio,Pupil School Nurse Ratio,Pupil School Psychologist Ratio,Pupil School Social Worker Ratio,School Counselor FTE,School Nurse FTE,School Psychologist FTE,School Social Worker FTE,Teacher Avg Salary,Admin Avg Salary,Total Teacher Headcount,Total Teacher FTE,Avg Class Size - Kindergarten,Avg Class Size - Grade 1,Avg Class Size - Grade 2,Avg Class Size - Grade 3,Avg Class Size - Grade 4,Avg Class Size - Grade 5,# Student Enrollment -Grade K,# Student Enrollment -Grade 1,# Student Enrollment -Grade 2,# Student Enrollment -Grade 3,# Student Enrollment -Grade 4,# Student Enrollment -Grade 5,k5_enroll,avg_class_size_k5
School,Dawes,Evanston CCSD 65,Evanston,Elementary School,K - 5,,,,,,299.0,150.3,,,1.0,1.99,,,35.0,30.74,15.0,20.3,14.7,17.7,18.6,19.5,42,56,42,50,54,55,299,17.87993311036789
School,Dewey,Evanston CCSD 65,Evanston,Elementary School,K - 5,,,,,,330.0,330.0,,,1.0,1.0,,,32.0,29.95,19.7,19.7,18.7,19.4,19.7,15.5,56,58,54,59,56,47,330,18.884545454545453
School,Lincoln,Evanston CCSD 65,Evanston,Elementary School,K - 5,,,,,,475.0,156.4,,,0.8,2.43,,,38.0,35.89,16.8,16.8,16.0,23.3,21.0,24.9,50,70,65,68,56,71,380,19.958684210526314
School,Lincolnwood,Evanston CCSD 65,Evanston,Elementary School,K - 5,,,,,,380.0,304.0,,,0.8,1.0,,,31.0,29.6,12.7,15.7,18.7,23.5,25.1,18.1,39,51,59,48,50,57,304,19.125
School,Oakton,Evanston CCSD 65,Evanston,Elementary School,K - 5,,,,,,437.5,175.0,,,0.8,2.0,,,44.0,40.58,14.3,18.3,16.3,14.8,17.8,12.0,49,68,62,54,70,46,349,15.910888252148997
School,Orrington,Evanston CCSD 65,Evanston,Elementary School,K - 5,,,,,,350.0,163.3,,,0.7,1.5,,,28.0,25.29,20.1,17.0,21.0,17.5,17.0,17.6,38,28,42,33,52,52,245,18.36122448979592
School,Walker,Evanston CCSD 65,Evanston,Elementary School,K - 5,,,,,,385.0,256.7,,,1.0,1.5,,,37.0,34.0,21.0,21.7,19.0,24.0,24.3,23.2,59,63,54,71,69,69,385,22.37298701298701
School,Washington,Evanston CCSD 65,Evanston,Elementary School,K - 5,,,,,,423.0,136.9,,,1.0,3.09,,,42.0,40.89,13.1,14.5,20.3,19.0,20.0,17.8,52,59,78,72,75,87,423,17.81725768321513
School,Willard,Evanston CCSD 65,Evanston,Elementary School,K - 5,,,,,,461.3,205.0,,,0.8,1.8,,,36.0,34.3,19.1,17.7,18.3,18.3,16.5,17.6,54,52,71,54,72,66,369,17.85609756097561
School,King Arts,Evanston CCSD 65,Evanston,Elementary School,K - 8,,,,413.0,,344.2,171.4,1.0,,1.2,2.41,,,58.0,54.68,18.3,16.0,19.5,17.0,16.3,16.3,57,49,38,35,51,51,281,17.173309608540926
School,Kingsley,Evanston CCSD 65,Evanston,Elementary School,K - 5,,,,,,,322.0,,,,1.0,,,33.0,30.45,19.6,16.3,22.3,18.3,16.0,18.7,58,47,65,50,46,55,321,18.79096573208723
School,Bessie Rhodes,Evanston CCSD 65,Skokie,Elementary School,K - 8,,,,274.0,,685.0,274.0,1.0,,0.4,1.0,,,35.0,32.69,18.0,21.0,19.0,15.0,13.0,15.5,36,39,37,32,25,28,197,17.304568527918782
