School Name,District,City,School Type,Grades Served,Total Teacher Headcount,Total Teacher FTE,Avg Class Size - Kindergarten,Avg Class Size - Grade 1,Avg Class Size - Grade 2,Avg Class Size - Grade 3,Avg Class Size - Grade 4,Avg Class Size - Grade 5,# Student Enrollment -Grade K,# Student Enrollment -Grade 1,# Student Enrollment -Grade 2,# Student Enrollment -Grade 3,# Student Enrollment -Grade 4,# Student Enrollment -Grade 5
Dawes,Evanston CCSD 65,Evanston,Elementary School,K - 5,33.0,28.844,21.5,15.0,21.0,24.5,17.6,20.0,41,47,56,48,50,54
Dewey,Evanston CCSD 65,Evanston,Elementary School,K - 5,32.0,29.45,16.7,19.3,20.3,15.1,19.1,18.9,49,54,61,46,61,47
Bessie Rhodes,Evanston CCSD 65,Skokie,Elementary School,K - 8,28.0,26.045,16.0,17.5,19.5,19.5,17.0,23.0,30,33,39,35,31,23
King Arts,Evanston CCSD 65,Evanston,Elementary School,K - 8,56.0,52.364,19.5,17.7,17.0,20.5,20.0,17.3,41,56,48,40,38,54
Kingsley,Evanston CCSD 65,Evanston,Elementary School,K - 5,30.0,26.476,19.7,21.3,19.0,23.3,24.9,25.4,53,59,53,68,49,50
Lincoln,Evanston CCSD 65,Evanston,Elementary School,K - 5,38.0,35.28,15.4,14.0,17.9,20.3,20.0,21.5,46,42,68,61,62,60
Lincolnwood,Evanston CCSD 65,Evanston,Elementary School,K - 5,30.0,27.828,22.0,21.5,16.3,17.2,23.4,13.3,44,42,47,59,46,48
Oakton,Evanston CCSD 65,Evanston,Elementary School,K - 5,41.0,39.81,16.0,20.0,19.5,18.0,15.5,17.5,58,56,70,65,53,65
Orrington,Evanston CCSD 65,Evanston,Elementary School,K - 5,28.0,23.525,16.0,21.0,13.9,19.1,17.0,16.0,30,40,28,43,32,51
Walker,Evanston CCSD 65,Evanston,Elementary School,K - 5,36.0,32.623,14.0,22.0,21.3,16.7,23.1,22.3,40,61,63,49,74,63
Washington,Evanston CCSD 65,Evanston,Elementary School,K - 5,41.0,37.16,19.0,20.5,15.3,21.0,19.0,19.5,58,59,58,82,74,76
Willard,Evanston CCSD 65,Evanston,Elementary School,K - 5,35.0,30.866,18.7,19.3,17.0,17.0,18.3,17.4,53,58,51,68,53,70
