School,American_Indian_or_Alaska_Native,Asian,Black_or_African_American,Hispanic_or_Latino,Middle_Eastern_or_North_African,Multiracial,Native_Hawaiian_Other_Pacific_Islander,White,No_Race,Total
Chute Middle School,<10,44,180,150,<10,61,<10,153,0,591
Dawes Elementary School,0,10,76,72,<10,28,<10,72,0,260
Dewey Elementary School,<10,22,40,56,<10,35,0,127,0,285
Dr Martin Luther King Jr Literary & Fine Arts School,0,16,170,75,0,54,0,113,0,428
Foster School,0,<10,106,148,0,10,0,53,0,320
Haven Middle School,0,10,113,102,0,57,0,321,0,603
Lincoln Elementary School,0,20,53,30,<10,39,0,156,0,301
Lincolnwood Elementary School,0,<10,52,20,0,34,0,199,0,310
Nichols Middle School,<10,25,101,142,0,60,0,242,0,572
Oakton Elementary School,0,12,123,68,<10,29,0,93,<10,327
Orrington Elementary School,0,25,14,12,0,38,0,145,0,234
Walker Elementary School,0,28,61,35,<10,45,0,116,0,287
Washington Elementary School,0,<10,46,128,<10,36,0,129,0,348
Willard Elementary School,0,<10,14,31,0,21,0,177,0,246
