School,Grade,ACC,Middle_School_DL,MonoL,RISE,STEP,TWE,TWS,TWX,Total
Chute Middle School,6,0,0,191,0,0,0,0,0,191
Chute Middle School,7,0,0,209,0,0,0,0,0,209
Chute Middle School,8,0,0,191,0,0,0,0,0,191
Dawes Elementary School,K,0,0,10,0,0,0,0,0,10
Dawes Elementary School,1,0,0,25,0,0,<10,12,<10,47
Dawes Elementary School,2,0,0,25,0,0,<10,<10,<10,44
Dawes Elementary School,3,0,0,36,0,0,<10,<10,0,47
Dawes Elementary School,4,0,0,40,0,0,<10,11,<10,62
Dawes Elementary School,5,0,0,28,0,0,11,<10,<10,50
Dewey Elementary School,K,0,0,20,0,0,0,0,0,20
Dewey Elementary School,1,0,0,29,0,0,<10,<10,<10,51
Dewey Elementary School,2,0,0,28,0,0,<10,<10,<10,45
Dewey Elementary School,3,0,0,35,0,0,12,<10,<10,55
Dewey Elementary School,4,0,0,44,0,0,10,<10,<10,63
Dewey Elementary School,5,0,0,42,0,0,<10,<10,<10,51
Dr Martin Luther King Jr Literary & Fine Arts School,K,0,0,13,0,0,0,0,0,13
Dr Martin Luther King Jr Literary & Fine Arts School,1,0,0,36,<10,0,0,0,0,39
Dr Martin Luther King Jr Literary & Fine Arts School,2,0,0,36,<10,0,0,0,0,38
Dr Martin Luther King Jr Literary & Fine Arts School,3,0,0,61,<10,0,0,0,0,63
Dr Martin Luther King Jr Literary & Fine Arts School,4,0,0,49,<10,0,0,0,0,51
Dr Martin Luther King Jr Literary & Fine Arts School,5,0,0,43,<10,0,0,0,0,46
Dr Martin Luther King Jr Literary & Fine Arts School,6,0,0,44,<10,0,0,0,0,47
Dr Martin Luther King Jr Literary & Fine Arts School,7,0,0,63,<10,0,0,0,0,66
Dr Martin Luther King Jr Literary & Fine Arts School,8,0,0,61,<10,0,0,0,0,65
Foster School,K,0,0,<10,0,0,0,0,0,<10
Foster School,1,0,0,16,0,0,10,<10,<10,41
Foster School,2,0,0,20,0,0,16,17,<10,62
Foster School,3,0,0,28,0,0,14,17,14,73
Foster School,4,0,0,36,0,0,<10,20,<10,66
Foster School,5,0,0,26,0,0,14,19,10,69
Haven Middle School,6,0,21,165,0,0,0,0,0,186
Haven Middle School,7,0,<10,202,0,0,0,0,0,208
Haven Middle School,8,0,12,197,0,0,0,0,0,209
Lincoln Elementary School,K,0,0,15,0,0,0,0,0,15
Lincoln Elementary School,1,0,0,62,0,<10,0,0,0,69
Lincoln Elementary School,2,0,0,47,0,<10,0,0,0,52
Lincoln Elementary School,3,0,0,39,0,<10,0,0,0,42
Lincoln Elementary School,4,0,0,64,0,<10,0,0,0,67
Lincoln Elementary School,5,0,0,53,0,<10,0,0,0,56
Lincolnwood Elementary School,K,0,0,13,0,0,0,0,0,13
Lincolnwood Elementary School,1,0,0,55,0,<10,0,0,0,62
Lincolnwood Elementary School,2,0,0,55,0,<10,0,0,0,56
Lincolnwood Elementary School,3,0,0,41,0,<10,0,0,0,46
Lincolnwood Elementary School,4,0,0,52,0,<10,0,0,0,54
Lincolnwood Elementary School,5,0,0,76,0,<10,0,0,0,79
Nichols Middle School,6,0,39,159,0,<10,0,0,0,201
Nichols Middle School,7,0,0,164,0,0,0,0,0,164
Nichols Middle School,8,0,0,203,0,<10,0,0,0,207
Oakton Elementary School,K,<10,0,15,0,0,0,0,0,19
Oakton Elementary School,1,11,0,30,0,0,<10,<10,<10,57
Oakton Elementary School,2,13,0,38,0,0,<10,<10,<10,62
Oakton Elementary School,3,15,0,22,0,0,<10,<10,<10,53
Oakton Elementary School,4,14,0,42,0,0,<10,10,0,70
Oakton Elementary School,5,13,0,45,0,0,<10,<10,<10,66
Orrington Elementary School,K,0,0,18,0,0,0,0,0,18
Orrington Elementary School,1,0,0,35,0,0,0,0,0,35
Orrington Elementary School,2,0,0,42,0,0,0,0,0,42
Orrington Elementary School,3,0,0,53,0,0,0,0,0,53
Orrington Elementary School,4,0,0,29,0,0,0,0,0,29
Orrington Elementary School,5,0,0,57,0,0,0,0,0,57
Walker Elementary School,K,0,0,20,0,0,0,0,0,20
Walker Elementary School,1,0,0,54,0,0,0,0,0,54
Walker Elementary School,2,0,0,43,0,0,0,0,0,43
Walker Elementary School,3,0,0,63,0,0,0,0,0,63
Walker Elementary School,4,0,0,61,0,0,0,0,0,61
Walker Elementary School,5,0,0,46,0,0,0,0,0,46
Washington Elementary School,K,0,0,17,0,0,0,0,0,17
Washington Elementary School,1,0,0,23,0,<10,20,<10,<10,59
Washington Elementary School,2,0,0,24,0,<10,16,<10,<10,62
Washington Elementary School,3,0,0,30,0,<10,16,11,<10,64
Washington Elementary School,4,0,0,30,0,<10,17,<10,<10,64
Washington Elementary School,5,0,0,47,0,0,12,18,<10,82
Willard Elementary School,K,0,0,12,0,0,0,0,0,12
Willard Elementary School,1,0,0,45,0,0,0,0,0,45
Willard Elementary School,2,0,0,46,0,0,0,0,0,46
Willard Elementary School,3,0,0,50,0,0,0,0,0,50
Willard Elementary School,4,0,0,44,0,0,0,0,0,44
Willard Elementary School,5,0,0,49,0,0,0,0,0,49
