School,Non_EL,EL,Total
Chute Middle School,497,94,591
Dawes Elementary School,195,65,260
Dewey Elementary School,243,42,285
Dr Martin Luther King Jr Literary & Fine Arts School,377,51,428
Foster School,210,110,320
Haven Middle School,534,69,603
Lincoln Elementary School,247,54,301
Lincolnwood Elementary School,296,14,310
Nichols Middle School,503,69,572
Oakton Elementary School,265,62,327
Orrington Elementary School,214,20,234
Walker Elementary School,248,39,287
Washington Elementary School,268,80,348
Willard Elementary School,234,12,246
