School,No_IEP,IEP,Total
Chute Middle School,488,103,591
Dawes Elementary School,212,48,260
Dewey Elementary School,244,41,285
Dr Martin Luther King Jr Literary & Fine Arts School,324,104,428
Foster School,258,62,320
Haven Middle School,499,104,603
Lincoln Elementary School,247,54,301
Lincolnwood Elementary School,258,52,310
Nichols Middle School,492,80,572
Oakton Elementary School,283,44,327
Orrington Elementary School,209,25,234
Walker Elementary School,238,49,287
Washington Elementary School,287,61,348
Willard Elementary School,216,30,246
