School,Not_Low_Income,Low_Income,Total
Chute Middle School,304,287,591
Dawes Elementary School,136,124,260
Dewey Elementary School,194,91,285
Dr Martin Luther King Jr Literary & Fine Arts School,204,224,428
Foster School,111,209,320
Haven Middle School,407,196,603
Lincoln Elementary School,185,116,301
Lincolnwood Elementary School,251,59,310
Nichols Middle School,378,194,572
Oakton Elementary School,168,159,327
Orrington Elementary School,199,35,234
Walker Elementary School,198,89,287
Washington Elementary School,216,132,348
Willard Elementary School,211,35,246
